"Station","Date","Chla","Pheophytin","TotAlkalinity","DissAmmonia","DissNitrateNitrite","DOC","TOC","DON","TotPhos","DissOrthophos","TDS","TSS","TKN","Depth","Secchi","Microcystis","SpCndSurface","WTSurface"
"P8",2020-01-16,0.64,0.5,98,0.15,2.8,3.9,4.1,NA,0.31,0.2,380,8.9,0.52,28.9,116,1,667,9.67
"D7",2020-01-22,0.67,0.87,82,0.21,0.49,0.27,0.32,NA,0.082,0.071,9500,38,0.48,18.8,30,1,15532,9.97
"P8",2020-02-14,1.46,0.69,81,0.25,1.7,2.8,2.5,NA,0.13,0.13,340,2.2,0.43,39,212,1,647,11.09
"D7",2020-02-20,2.15,0.5,86,0.14,0.48,0.39,0.41,NA,0.13,0.065,5800,18,0.25,7.1,52,1,11369,12.51
"P8",2020-03-03,1.4,0.56,80,0.11,1.6,2,2.1,NA,0.19,0.14,290,1.4,0.4,39,340,1,530,13.97
"D7",2020-03-06,1.89,1.13,93,0.22,0.38,0.19,0.2,NA,0.1,0.082,8700,28,0.2,7.2,48,1,16257,13.81
"P8",2020-06-11,4.73,1.25,59,0.05,1.07,2.8,2.8,0.3,0.188,0.177,280,6.6,0.4,37.1,100,3,503,23.46
"D7",2020-06-17,1.74,0.89,78,0.05,0.4,1.2,1.2,0.2,0.113,0.095,7760,35.6,0.2,5.2,40,2,12946,21.11
"P8",2020-07-13,6.4,0.88,63,0.05,0.71,3.1,3.1,0.3,0.184,0.171,227,5.3,0.5,36.7,160,3,404,26.65
"D7",2020-07-16,2.79,0.85,80,0.05,0.32,1,1,0.1,0.112,0.093,11700,23.2,0.2,5.6,44,2,18600,21.37
"P8",2020-08-11,16.51,1.41,65,0.05,0.96,3.6,3.6,0.5,0.28,0.251,219,7.4,0.7,37.4,120,4,388,26.19
"D7",2020-08-17,0.5,6.13,83,0.05,0.23,1.2,1.2,0.22,0.1,0.089,11900,24.8,0.3,7.5,68,2,20214,23.23
"P8",2020-09-09,4.4,1.37,68,0.062,1.82,3.4,3.5,0.3,0.49,0.474,266,3.5,0.6,34.5,172,3,477,25.26
"D7",2020-09-24,1.83,3.09,87.5,0.06,0.29,1.8,1.8,0.19,0.109,0.102,12200,31,0.3,5.9,48,2,19244,20.58
"P8",2020-10-08,2.81,1.63,81,0.05,3.25,3.4,3.3,0.3,0.42,0.456,327,2.9,0.5,34.8,180,2,513,23.31
"D7",2020-10-13,1.24,0.64,89,0.05,0.313,1.8,1.5,0.11,0.105,0.103,13100,14.6,0.2,5.9,84,1,21419,20.08
"P8",2020-11-06,1.99,0.92,66,0.05,1.95,2.8,2.8,0.3,0.2,0.208,216,2.5,0.373,42,264,1,390,15.67
"D7",2020-11-12,0.92,2.58,89,0.123,0.314,1,1,0.2,0.14,0.09,14400,77.4,0.373,9.2,48,2,21318,14.26
"P8",2021-03-05,1.56,0.5,103,0.299,3.33,5.9,6.8,0.53,0.362,0.385,536,2.9,0.911,38.7,172,1,956,13.06
"D7",2021-03-10,4.77,0.5,97.9,0.135,0.526,1.6,1.4,0.13,0.105,0.086,10100,34.5,0.358,6.9,44,1,16430,12.62
"P8",2021-04-05,2.62,1.1,116,0.063,2.79,4.8,4.8,0.46,0.324,0.292,578,3.6,0.586,38.1,156,1,1077,17.01
"D7",2021-04-08,3.28,0.83,93.9,0.078,0.463,1.6,1.7,0.25,0.106,0.095,8260,68.2,0.37,5.9,37,1,14034,14.79
"P8",2021-05-05,4.73,1.48,89.9,0.05,1.67,3.7,3.7,0.37,0.274,0.291,359,3.9,0.472,37.7,164,1,646,22.18
"D7",2021-05-10,1.85,0.55,100,0.093,0.457,1.3,1.2,0.13,0.112,0.093,12200,40.6,0.325,5.6,40,1,20233,19.49
"P8",2021-06-03,4.39,0.5,78.1,0.056,1.48,3.8,3.7,0.29,0.292,0.31,376,3.3,0.422,32.5,144,3,737,24.61
"D7",2021-06-08,4.21,1.2,96.8,0.058,0.446,1.2,1.1,0.25,0.157,0.102,11760,102,0.403,5.6,32,1,22784,18.86
"P8",2021-07-16,4.3,2.28,49.2,0.05,1.08,2.7,2.6,0.3,0.22,0.217,166,3.1,0.344,37.4,172,3,358,26.12
"D7",2021-07-21,6.54,1.15,93.4,0.05,0.252,1.1,1.1,0.17,0.123,0.103,14620,40,0.232,5.9,48,1,24163,21.06
"P8",2021-08-16,5.56,1.2,46.4,0.05,1.14,2.5,2.5,0.24,0.231,0.228,152,5.1,0.328,37.7,148,2,278,25.79
"D7",2021-08-19,6.76,4.03,91.1,0.05,0.179,1.8,1.9,0.19,0.138,0.1,14500,71.9,0.252,6.2,20,2,23576,20.48
"P8",2021-09-10,3.85,1.22,57.5,0.069,1.85,3.2,3.1,0.27,0.334,0.361,256,5.5,0.431,11.5,NA,2,495,25.01
"D7",2021-09-16,2.74,1.32,91.5,0.05,0.184,1.2,1.2,0.21,0.111,0.099,13600,36.7,0.283,6.2,60,1,22539,19.93
"P8",2021-10-13,1.97,0.57,74.9,0.069,2.98,3.1,2.9,0.29,0.473,0.455,424,2.5,0.39,37.5,164,2,800,19.61
"D7",2021-10-18,2.95,2.86,94.9,0.073,0.185,1,1,0.1,0.122,0.099,15800,33.9,0.194,6.9,44,1,25278,16.75
"P8",2021-11-10,1.25,0.92,59.8,0.118,1.99,3.9,3.8,0.25,0.315,0.304,237,5.5,0.53,37.7,96,1,431,16.37
"D7",2021-11-16,1.52,1.38,85.6,0.186,0.406,1.5,1.4,0.3,0.146,0.093,11600,61.8,0.531,6.6,28,1,18945,15.3
"P8",2021-12-10,1.52,0.7,79.4,0.09,3.58,3.7,3.6,0.35,0.254,0.262,403,3.4,0.457,37.7,96,2,752,12.81
"D7",2021-12-15,1.17,1.55,91.5,0.192,0.508,1.7,1.7,0.24,0.128,0.08,12200,68.3,0.504,14.1,36,1,20378,11.52
"D7",2022-01-12,0.67,2.29,76.7,0.113,0.656,3.4,3.3,0.35,0.143,0.08,3760,73,0.537,7.5,20,1,6351,9.44
"D7",2022-02-14,3.66,1.19,90.1,0.107,0.511,1.7,1.6,0.12,0.102,0.076,9180,53.5,0.362,7.2,44,1,15918,12.4
"D7",2022-03-16,5.45,1.38,88.1,0.053,0.354,1.7,1.7,0.21,0.098,0.069,6960,51.3,0.323,6.2,32,1,12056,14.14
"D7",2022-04-27,2.53,2.33,88.7,0.106,0.345,1.7,1.5,0.21,0.145,0.089,8600,90,0.378,5.6,24,1,14711,16.61
"D7",2022-05-27,2.75,1.73,92.9,0.086,0.362,2.3,2.2,0.18,0.158,0.104,12500,60,0.359,5.9,24,1,20718,19.24
"D7",2022-06-27,7.36,0.5,90.4,0.05,0.196,2.2,2.1,0.22,0.118,0.089,13200,34.8,0.261,5.9,40,1,22086,21.88
"D7",2022-07-25,2.5,3.16,87,0.081,0.16,1.3,1.5,0.24,0.185,0.1,13700,105,0.387,5.9,20,1,22769,20.33
"D7",2022-08-22,2.65,0.83,84.1,0.06,0.303,1.6,1.6,0.12,0.146,0.113,13100,40.4,0.241,7.2,36,2,22044,21.49
"D7",2022-09-20,1.09,0.5,82,0.05,0.263,1.6,1.6,0.11,0.112,0.103,12600,11.6,0.149,5.9,76,1,22017,20.4
"D7",2022-10-19,1.7,0.67,82.6,0.056,0.297,1.7,1.7,0.16,0.122,0.101,13000,27.2,0.269,5.9,60,1,21755,18.58
"D7",2022-11-18,2.02,1.49,84,0.128,0.29,1.6,1.8,0.1,0.148,0.088,12800,78.1,0.339,6.6,36,1,21598,13.01
"D7",2022-12-19,2.21,0.98,85.1,0.145,0.33,1.8,1.5,0.1,0.118,0.076,11800,32.7,0.295,6.9,40,1,20361,9.41
"P8",2022-01-07,0.57,1.67,61.9,0.29,1.66,9.5,9.1,1.07,0.281,0.242,220,8,1.44,39.7,48,1,366,9.06
"P8",2022-02-09,0.88,2.84,95.2,0.145,5.47,5.9,5.8,0.53,0.344,0.326,453,8.7,0.76,6.9,76,1,817,11.29
"P8",2022-03-11,1.88,0.76,85.8,0.07,3.27,3.6,3.6,0.33,0.13,0.13,402,5.3,0.469,37.4,144,1,731,14.18
"P8",2022-04-22,3.55,1.08,96.3,0.109,3.55,4.4,4.4,0.4,0.305,0.296,405,4.4,0.617,38.7,152,1,730,18.29
"P8",2022-05-23,2.67,1.02,76.5,0.068,2.42,4.7,4.7,0.35,0.3,0.301,306,6,0.528,37.4,152,1,569,21.58
"P8",2022-06-22,4.3,1.26,67.4,0.05,3.58,4.8,4.6,0.44,0.462,0.456,264,4.8,0.541,36.4,120,3,501,24.96
"P8",2022-07-20,5.24,0.86,78.2,0.05,1.26,5.4,5.4,0.43,0.304,0.295,282,3.3,0.511,36.7,196,4,529,27.01
"P8",2022-08-17,4.12,0.86,79.8,0.05,0.806,4.5,4.4,0.37,0.276,0.26,312,3.9,0.549,37.1,136,3,572,26.17
"P8",2022-09-15,4.05,0.93,88,0.061,1.03,4.8,5.2,0.42,0.353,0.349,380,4.5,0.544,37.1,128,2,701,25.52
"P8",2022-10-14,2.48,1.18,90.5,0.07,1.06,4.4,4.5,0.38,0.371,0.366,405,4.9,0.523,36.7,124,2,764,22.58
"P8",2022-11-15,1.66,0.99,54.5,0.061,0.8,3,2.9,0.19,0.132,0.123,165,7.7,0.308,37.1,108,1,293,13.41
"P8",2022-12-14,1.03,1.45,76.2,0.168,1.72,5,5.2,0.46,0.158,0.107,293,21.1,0.69,37.1,40,1,542,10.4
