Date,Inflow,Outflow
2019-09-03,25810,12132
2019-09-04,25687,12074
2019-09-05,25918,12350
2019-09-06,26186,12658
2019-09-07,25569,12091
2019-09-08,25781,12336
2019-09-09,25513,12176
2019-09-10,25237,13122
2019-09-11,25048,13447
2019-09-12,24910,14893
2019-09-13,24588,11367
2019-09-14,24744,10539
2019-09-15,25076,10892
2019-09-16,25381,13088
2019-09-17,25725,17681
2019-09-18,25965,15853
2019-09-19,26041,14280
2019-09-20,25978,13866
2019-09-21,25606,11653
2019-09-22,25109,11200
2019-09-23,24615,11206
2019-09-24,24046,10199
2019-09-25,23596,10290
2019-09-26,23105,9301
2019-09-27,23254,10569
2019-09-28,23500,13710
2019-09-29,23641,13914
2019-09-30,23675,11487
2019-10-01,23614,10984
2019-10-02,23745,11970
2019-10-03,24152,13442
2019-10-04,23528,14809
2019-10-05,22330,14637
2019-10-06,21258,15231
2019-10-07,20457,15428
2019-10-08,19471,14456
2019-10-09,18676,14579
2019-10-10,18127,14550
2019-10-11,17778,14211
2019-10-12,16988,13384
2019-10-13,16188,12568
2019-10-14,15504,11962
2019-10-15,14885,11374
2019-10-16,14454,10937
2019-10-17,15677,12160
2019-10-18,17162,13722
2019-10-19,17152,13902
2019-10-20,16523,13270
2019-10-21,16679,13442
2019-10-22,16446,13313
2019-10-23,15845,12756
2019-10-24,16074,12994
2019-10-25,16827,13718
2019-10-26,17321,14207
2019-10-27,16812,13730
2019-10-28,15592,12511
2019-10-29,15429,12393
2019-10-30,15081,12054
2019-10-31,14359,11332
2019-11-01,14069,8144
2019-11-02,14446,9533
2019-11-03,14086,9396
2019-11-04,13387,7479
2019-11-05,12634,7124
2019-11-06,12123,7261
2019-11-07,11916,7304
2019-11-08,11938,7476
2019-11-09,11759,6990
2019-11-10,11762,7114
2019-11-11,11868,7021
2019-11-12,12068,7000
2019-11-13,12292,6833
2019-11-14,12414,4047
2019-11-15,12565,4165
2019-11-16,12671,4297
2019-11-17,12652,4289
2019-11-18,12521,7830
2019-11-19,12839,9527
2019-11-20,13264,10339
2019-11-21,13071,6992
2019-11-22,13053,4520
2019-11-23,12857,4870
2019-11-24,12867,4918
2019-11-25,13031,5002
2019-11-26,12742,6938
2019-11-27,13078,5889
2019-11-28,13764,6741
2019-11-29,14189,6758
2019-11-30,14621,7832
2019-12-01,15858,13023
2019-12-02,20343,18708
2019-12-03,23430,21568
2019-12-04,25326,25178
2019-12-05,26285,25397
2019-12-06,25630,20149
2019-12-07,25841,20054
2019-12-08,27651,23914
2019-12-09,28778,21848
2019-12-10,30568,24261
2019-12-11,30131,22871
2019-12-12,28138,18982
2019-12-13,26607,14735
2019-12-14,25812,13862
2019-12-15,25435,11946
2019-12-16,25080,11468
2019-12-17,24102,11059
2019-12-18,22944,10260
2019-12-19,21913,9605
2019-12-20,20979,8499
2019-12-21,20285,7871
