Date,Flow
2014-01-01,90.94791666666667
2014-01-02,81.340625
2014-01-03,82.528125
2014-01-04,96.13020833333333
2014-01-05,102.22916666666667
2014-01-06,88.28125
2014-01-07,78.27368421052631
2014-01-08,85.53541666666666
2014-01-09,83.05
2014-01-10,98.66145833333333
2014-01-11,109.14375
2014-01-12,120.90208333333334
2014-01-13,96.884375
2014-01-14,86.97052631578947
2014-01-15,75.53645833333333
2014-01-16,83.71354166666667
2014-01-17,101.47291666666666
2014-01-18,105.25
2014-01-19,104.38541666666667
2014-01-20,105.58333333333333
2014-01-21,104.09375
2014-01-22,119.33333333333333
2014-01-23,124.23958333333333
2014-01-24,132.57916666666668
2014-01-25,146.82395833333334
2014-01-26,144.96875
2014-01-27,109.81979166666666
2014-01-28,139.26041666666666
2014-01-29,165.94791666666666
2014-01-30,176.35416666666666
2014-01-31,182.9375
2014-02-01,169.91666666666666
2014-02-02,150.4375
2014-02-03,127.8125
2014-02-04,122.52083333333333
2014-02-05,152.07291666666666
2014-02-06,212.48958333333334
2014-02-07,323.5625
2014-02-08,364.0729166666667
2014-02-09,522.6979166666666
2014-02-10,515.1354166666666
2014-02-11,445.8229166666667
2014-02-12,465.8333333333333
2014-02-13,510.4270833333333
2014-02-14,501.6595744680851
2014-02-15,413.1875
2014-02-16,322.9375
2014-02-17,289.65625
2014-02-18,287.7291666666667
2014-02-19,264.6979166666667
2014-02-20,228.09375
2014-02-21,199.97916666666666
2014-02-22,195.27083333333334
2014-02-23,196.83125
2014-02-24,190.00520833333334
2014-02-25,177.32291666666666
2014-02-26,166.8515789473684
2014-02-27,187.43541666666667
2014-02-28,253.53473684210527
2014-03-01,313.8645833333333
2014-03-02,373.96875
2014-03-03,388.1666666666667
2014-03-04,364.9583333333333
2014-03-05,414.5104166666667
2014-03-06,461.9791666666667
2014-03-07,616.1702127659574
2014-03-08,551.125
2014-03-09,455.5208333333333
2014-03-10,366.1354166666667
2014-03-11,343.4583333333333
2014-03-12,276.2604166666667
2014-03-13,352.4166666666667
2014-03-14,406.2604166666667
2014-03-15,323.84375
2014-03-16,270.1770833333333
2014-03-17,217.9375
2014-03-18,198.85416666666666
2014-03-19,183.35416666666666
2014-03-20,185.4375
2014-03-21,174.23958333333334
2014-03-22,158.40625
2014-03-23,156.64583333333334
2014-03-24,169.72395833333334
2014-03-25,165.28645833333334
2014-03-26,172.57291666666666
2014-03-27,170.76770833333333
2014-03-28,153.53125
2014-03-29,175.59375
2014-03-30,236.10416666666666
2014-03-31,255.15625
2014-04-01,311.75
2014-04-02,364.0208333333333
2014-04-03,316.7604166666667
2014-04-04,222.35104166666667
2014-04-05,201.54166666666666
2014-04-06,202.28125
2014-04-07,194.45833333333334
2014-04-08,182.45833333333334
2014-04-09,212.29473684210527
2014-04-10,184.75
2014-04-11,195.3125
2014-04-12,176.778125
2014-04-13,185.515625
2014-04-14,156.59479166666668
2014-04-15,152.065625
2014-04-16,152.97916666666666
2014-04-17,156.27083333333334
2014-04-18,137.21875
2014-04-19,148.80729166666666
2014-04-20,154.1875
2014-04-21,133.58854166666666
2014-04-22,122.30208333333333
2014-04-23,135.83229166666666
2014-04-24,129.71875
2014-04-25,104.21875
2014-04-26,77.14479166666666
2014-04-27,70.56041666666667
2014-04-28,85.35416666666667
2014-04-29,104.34583333333333
2014-04-30,113.01041666666667
2014-05-01,103.68958333333333
2014-05-02,55.76842105263158
2014-05-03,24.145833333333332
2014-05-04,50.91875
2014-05-05,45.572916666666664
2014-05-06,20.441666666666666
2014-05-07,0.9020833333333333
2014-05-08,-26.6
2014-05-09,-7.24375
2014-05-10,-28.361458333333335
2014-05-11,-9.170833333333333
2014-05-12,-30.392391304347825
2014-05-13,-44.55833333333333
2014-05-14,-22.667123287671235
2014-05-15,-26.405208333333334
2014-05-16,-45.89270833333333
2014-05-17,-42.208333333333336
2014-05-18,-28.161458333333332
2014-05-19,-26.08125
2014-05-20,-18.684375
2014-05-21,-31.56875
2014-05-22,-32.213541666666664
2014-05-23,-24.16
